bronzé	VERB	bronzer
marques	NOUN	marque
n'	ADV	n'
celle	PRON	celui
par	ADP	par
de	ADP	de
paraître	VERB	paraître
il	PRON	il
ça	PRON	cela
des	DET	un
sa	DET	son
yeux	NOUN	oeil
Prix	NOUN	prix
Française	PROPN	Française
rue	NOUN	rue
qui	PRON	qui
en	ADP	en
si	ADV	si
attiré	VERB	attirer
Le	DET	le
avantage	NOUN	avantage
et	CCONJ	et
Tony	PROPN	Tony
tous	ADJ	tout
entière	ADJ	entier
d'	ADP	de
,	PUNCT	,
de	ADP	de
a	AUX	avoir
,	PUNCT	,
jeune	ADJ	jeune
tête	NOUN	tête
en	PRON	en
bref	ADV	bref
est	AUX	être
elle	PRON	lui
à	ADP	à
lança	VERB	lancer
pas	ADV	pas
dans	ADP	dans
ce	DET	ce
du	ADP	de
l'	DET	le
rater	VERB	rater
Déjà	ADV	déjà
tendus	VERB	tendre
sur	ADP	sur
film	NOUN	film
donne	VERB	donne
concours	NOUN	concours
un	DET	un
avait	VERB	avoir
Nous	PRON	nous
efface	VERB	effacer
les	DET	le
en	PRON	en
unique	ADJ	unique
que	PRON	que
Prix	NOUN	prix
les	DET	le
c'	PRON	ce
démêler	VERB	démêler
sonore	ADJ	sonore
une	DET	un
la	DET	le
intense	ADJ	intense
du	ADP	de
ces	DET	ce
monde	NOUN	monde
en	ADP	en
connues	VERB	connaître
paupières	NOUN	paupière
qui	PRON	qui
que	SCONJ	que
impressionnera	VERB	impressionner
,	PUNCT	,
-t	PRON	-t
.	PUNCT	.
autres	PRON	autre
jeu	NOUN	jeu
de	ADP	de
dit	VERB	dire
la	DET	le
bavardaient	VERB	bavarder
film	NOUN	film
rencontrée	VERB	rencontrer
se	PRON	se
.	PUNCT	.
en	ADP	en
jouait	VERB	jouer
riaient	VERB	rire
homme	NOUN	homme
cet	DET	ce
elle	PRON	lui
,	PUNCT	,
elle	PRON	lui
.	PUNCT	.
Lambert	PROPN	Lambert
yeux	NOUN	oeil
à	ADP	à
—	PUNCT	—
représentatif	ADJ	représentatif
,	PUNCT	,
malgré	ADP	malgré
quarantaine	NOUN	quarantaine
et	CCONJ	et
poussés	VERB	pousser
au	ADP	au
trouvait	VERB	trouver
du	ADP	de
et	CCONJ	et
sa	DET	son
Et	CCONJ	et
éperdument	ADV	éperdument
je	PRON	je
est	AUX	être
Morland	PROPN	Morland
monde	NOUN	monde
Mais	CCONJ	mais
complexe	NOUN	complexe
au	ADP	au
la	DET	le
Grétly	PROPN	Grétly
même	ADJ	même
enjôleur	ADJ	enjôleur
venait	VERB	venir
me	PRON	me
avait	AUX	avoir
tout	PRON	tout
as	AUX	avoir
offres	NOUN	offre
une	DET	un
de	ADP	de
le	DET	le
gouailleur	ADJ	gouailleur
le	DET	le
de	ADP	de
,	PUNCT	,
d'	ADP	de
soubrettes	NOUN	soubrette
qu'	SCONJ	que
lui	PRON	lui
Prix	NOUN	prix
arrivera	VERB	arriver
scène	NOUN	scène
bousculant	VERB	bousculer
ces	DET	ce
,	PUNCT	,
de	ADP	de
Comédie	PROPN	Comédie
Elle	PRON	lui
.	PUNCT	.
Phèdre	PROPN	Phèdre
Tony	PROPN	Tony
image	NOUN	image
en	ADP	en
pour	ADP	pour
de	ADP	de
Jalouse	PROPN	Jalouse
Moi	PRON	moi
écrit	VERB	écrire
Comédie	PROPN	Comédie
ça	PRON	cela
—	PUNCT	—
jeune	ADJ	jeune
jeune	ADJ	jeune
en	ADP	en
donneront	VERB	donner
murmura	VERB	murmurer
pour	ADP	pour
sur	ADP	sur
lui	PRON	lui
une	DET	un
,	PUNCT	,
jury	NOUN	jury
plus	ADV	plus
ton	DET	ton
athlétique	ADJ	athlétique
la	DET	le
,	PUNCT	,
,	PUNCT	,
ce	DET	ce
éclairée	VERB	éclairer
fit	AUX	faire
de	ADP	de
qui	PRON	qui
?	PUNCT	?
Art	NOUN	art
Après	ADP	après
troupe	NOUN	troupe
brise	VERB	brise
c'	PRON	ce
Julie	PROPN	Julie
d'	ADP	de
vieux	ADJ	vieux
sa	DET	son
main	NOUN	main
des	DET	un
Conservatoire	NOUN	conservatoire
.	PUNCT	.
désintéressée	ADJ	désintéressé
des	DET	un
Tony	PROPN	Tony
partenaire	NOUN	partenaire
serai	VERB	être
écoutaient	VERB	écouter
,	PUNCT	,
,	PUNCT	,
est	VERB	être
à	ADP	à
t'	PRON	te
livraient	VERB	livrer
par	ADP	par
C'	PRON	ce
à	ADP	à
de	ADP	de
à	ADP	à
toujours	ADV	toujours
rien	PRON	rien
n'	ADV	n'
de	ADP	de
confiance	NOUN	confiance
et	CCONJ	et
.	PUNCT	.
des	DET	un
célèbre	ADJ	célèbre
son	DET	son
.	PUNCT	.
se	PRON	se
cas	NOUN	cas
l'	DET	le
est	AUX	être
avec	ADP	avec
une	DET	un
paix	NOUN	paix
incontestablement	ADV	incontestablement
