:	PUNCT	:
s'	PRON	se
,	PUNCT	,
»	PUNCT	»
précisèrent	VERB	préciser
même	ADV	même
représentait	VERB	représenter
l'	DET	le
ragea	VERB	rager
force	NOUN	force
réel	NOUN	réel
consonances	NOUN	consonance
voulait	VERB	vouloir
qu'	SCONJ	que
en	PRON	en
!	PUNCT	!
poussière	NOUN	poussière
sang	NOUN	sang
il	PRON	il
se	PRON	se
éléments	NOUN	élément
récemment	ADV	récemment
immatériel	ADJ	immatériel
?	PUNCT	?
invisible	ADJ	invisible
être	VERB	être
immense	ADJ	immense
disparaître	VERB	disparaître
avec	ADP	avec
,	PUNCT	,
Nu	ADJ	nu
autres	PRON	autre
qu'	SCONJ	que
se	PRON	se
Carlos	PROPN	Carlos
qui	PRON	qui
rien	PRON	rien
fosses	NOUN	fosse
son	DET	son
,	PUNCT	,
lui	PRON	lui
;	PUNCT	;
au	ADP	au
rasât	VERB	raser
de	ADP	de
désagréablement	ADV	désagréablement
progressivement	ADV	progressivement
cosmos	NOUN	cosmos
ses	DET	son
hasard	NOUN	hasard
le	DET	le
«	PUNCT	«
existence	NOUN	existence
blessait	VERB	blesser
été	AUX	être
lavomat	NOUN	lavomat
pénétraient	VERB	pénétrer
le	DET	le
de	ADP	de
quelques	ADJ	quelque
même	ADV	même
se	PRON	se
;	PUNCT	;
d'	ADP	de
la	DET	le
lui-même	PRON	lui-même
instinctivement	ADV	instinctivement
,	PUNCT	,
amour	NOUN	amour
Carlos	PROPN	Carlos
!	PUNCT	!
ce	DET	ce
réalité	NOUN	réalité
était	AUX	être
fort	ADV	fort
une	DET	un
et	CCONJ	et
de	ADP	de
naître	VERB	naître
impalpable	ADJ	impalpable
millénaires	NOUN	millénaire
,	PUNCT	,
toujours	ADV	toujours
,	PUNCT	,
de	ADP	de
se	PRON	se
avides	ADJ	avide
qu'	PRON	qu'
toute	ADV	toute
rites	NOUN	rite
s'	PRON	se
dans	ADP	dans
ressentir	VERB	ressentir
cerner	VERB	cerner
de	ADP	de
ne	ADV	ne
d'	ADP	de
étudiant	NOUN	étudiant
,	PUNCT	,
non	ADV	non
il	PRON	il
essentiels	ADJ	essentiel
de	ADP	de
dans	ADP	dans
pu	VERB	pouvoir
d'	ADP	de
qui	PRON	qui
ou	CCONJ	ou
de	ADP	de
RODRIGUEZ	PROPN	RODRIGUEZ
à	ADP	à
ou	CCONJ	ou
qu'	SCONJ	que
de	ADP	de
un	DET	un
de	ADP	de
mouvement	NOUN	mouvement
SURGIR	VERB	surgir
NÉANT	NOUN	néant
plus	ADV	plus
que	PRON	que
pourtant	ADV	pourtant
et	CCONJ	et
avait	AUX	avoir
se	PRON	se
sans	ADP	sans
cette	DET	ce
enracinait	VERB	enraciner
même	ADJ	même
vers	ADP	vers
Ce	DET	ce
peau	NOUN	peau
quoi	PRON	quoi
vert	NOUN	vert
longtemps	ADV	longtemps
à	ADP	à
dans	ADP	dans
lui	PRON	lui
qui	PRON	qui
désigner	VERB	désigner
le	PRON	le
ses	DET	son
.	PUNCT	.
lisait	VERB	lire
il	PRON	il
vide	NOUN	vide
produisait	VERB	produire
de	ADP	de
insidieusement	ADV	insidieusement
s'	PRON	se
un	DET	un
une	DET	un
