nommiez	VERB	nommer
durant	ADP	durant
l'	DET	le
plus	ADV	plus
héritez	VERB	hériter
et	CCONJ	et
...	PUNCT	...
accepté	VERB	accepter
.	PUNCT	.
mon	DET	mon
ces	DET	ce
Il	PRON	il
quel	DET	quel
,	PUNCT	,
fort	ADJ	fort
me	PRON	me
le	DET	le
ma	DET	mon
Genève	PROPN	Genève
de	ADP	de
—	PUNCT	—
Je	PRON	je
Swann	PROPN	Swann
le	DET	le
,	PUNCT	,
ici	ADV	ici
?	PUNCT	?
qu'	SCONJ	que
rire	VERB	rire
connaissais	VERB	connaître
en	PRON	en
nuit	NOUN	nuit
pas	ADV	pas
j'	PRON	je
épaules	NOUN	épaule
dans	ADP	dans
faire	VERB	faire
aime	VERB	aime
ce	PRON	ce
,	PUNCT	,
Il	PRON	il
trop	ADV	trop
petit	ADJ	petit
dont	PRON	dont
café	NOUN	café
dans	ADP	dans
pour	ADP	pour
d'	ADP	de
Ashford	PROPN	Ashford
Une	DET	un
étonnée	VERB	étonner
,	PUNCT	,
à	ADP	à
de	ADP	de
,	PUNCT	,
pratique	ADJ	pratique
rire	NOUN	rire
Non	ADV	non
décochai	VERB	décocher
d'	ADP	de
ville	NOUN	ville
Or	CCONJ	or
rebondies	ADJ	rebondie
mon	DET	mon
En	ADP	en
pages	NOUN	page
...	PUNCT	...
.	PUNCT	.
voir	VERB	voir
ex-mari	NOUN	ex-mari
-vous	PRON	vous
a	VERB	avoir
joues	NOUN	joue
présenta	VERB	présenter
des	ADP	de
le	DET	le
mieux	NOUN	mieux
des	DET	un
Je	PRON	je
longs	ADJ	long
j'	PRON	je
.	PUNCT	.
gardien	NOUN	gardien
morts	VERB	mourir
?	PUNCT	?
calendrier	NOUN	calendrier
.	PUNCT	.
et	CCONJ	et
—	PUNCT	—
de	ADP	de
Il	PRON	il
trouvée	VERB	trouver
de	ADP	de
—	PUNCT	—
,	PUNCT	,
Je	PRON	je
l'	DET	le
ces	DET	ce
,	PUNCT	,
suis	AUX	être
de	ADP	de
,	PUNCT	,
Vous	PRON	vous
personne	NOUN	personne
:	PUNCT	:
pour	ADP	pour
enjolivés	VERB	enjoliver
un	DET	un
ne	ADV	ne
souviens	VERB	souvenir
monsieur	NOUN	Monsieur
-vous	PRON	vous
lui	PRON	lui
rien	PRON	rien
à	ADP	à
.	PUNCT	.
manquait	VERB	manquer
année	NOUN	année
rien	PRON	rien
bout	NOUN	bout
la	DET	le
à	ADP	à
plusieurs	DET	plusieurs
commence	VERB	commencer
survienne	VERB	survenir
lustrine	NOUN	lustrine
.	PUNCT	.
que	SCONJ	que
université	NOUN	université
jeune	ADJ	jeune
sûre	ADJ	sûr
.	PUNCT	.
!	PUNCT	!
agit	VERB	agir
vous	PRON	vous
Cette	DET	ce
acheter	VERB	acheter
Je	PRON	je
su	VERB	savoir
,	PUNCT	,
-moi	PRON	moi
on	PRON	on
de	ADP	de
de	ADP	de
convenait	VERB	convenir
train	NOUN	train
yeux	NOUN	oeil
cheveux	NOUN	cheveu
monsieur	NOUN	Monsieur
années	NOUN	année
,	PUNCT	,
n'	ADV	n'
minuit	NOUN	minuit
Mon	DET	mon
la	DET	le
cette	DET	ce
sous	ADP	sous
comme	ADP	comme
vous	PRON	vous
cesse	VERB	cesse
tons	NOUN	ton
à	ADP	à
ce	DET	ce
le	DET	le
le	DET	le
revenir	VERB	revenir
ronds	ADJ	rond
journée	NOUN	journée
assis	VERB	asseoir
en	PRON	en
répétai	VERB	répéter
maladroitement	ADV	maladroitement
et	CCONJ	et
me	PRON	me
dans	ADP	dans
sur	ADP	sur
époux	NOUN	époux
,	PUNCT	,
héritage	NOUN	héritage
Il	PRON	il
il	PRON	il
Je	PRON	je
n'	ADV	n'
mon	DET	mon
en	PRON	en
C'	PRON	ce
?	PUNCT	?
parents	NOUN	parent
rampes	NOUN	rampe
privé	ADJ	priver
une	DET	un
faire	VERB	faire
la	DET	le
Que	PRON	que
les	DET	le
prestige	NOUN	prestige
dans	ADP	dans
suis	AUX	être
usage	NOUN	usage
lui	PRON	lui
fait	NOUN	fait
avait	AUX	avoir
de	ADP	de
mon	DET	mon
manière	NOUN	manière
—	PUNCT	—
comme	ADP	comme
pour	ADP	pour
qu'	SCONJ	que
hôtel	NOUN	hôtel
décidai	VERB	décider
monde	NOUN	monde
moindre	ADJ	moindre
l'	DET	le
tout	ADV	tout
savoir	VERB	savoir
des	ADP	de
humeur	NOUN	humeur
n'	ADV	n'
consultait	VERB	consulter
mars	NOUN	mars
à	ADP	à
ma	DET	mon
pour	ADP	pour
.	PUNCT	.
de	ADP	de
que	PRON	que
reconnaîtrais	VERB	reconnaître
.	PUNCT	.
contracta	VERB	contracter
apparemment	ADV	apparemment
en	ADP	en
a	VERB	avoir
déménager	VERB	déménager
étais	VERB	être
entendais	VERB	entendre
j'	PRON	je
m'	PRON	me
Ashford	PROPN	Ashford
m'	PRON	me
il	PRON	il
améliorer	VERB	améliorer
un	DET	un
en	PRON	en
.	PUNCT	.
Il	PRON	il
1	NUM	1
première	ADJ	premier
dit	VERB	dire
,	PUNCT	,
à	ADP	à
Quand	SCONJ	quand
,	PUNCT	,
ne	ADV	ne
.	PUNCT	.
et	CCONJ	et
idée	NOUN	idée
Aussi	ADV	aussi
...	PUNCT	...
farce	NOUN	farce
carnet	NOUN	carnet
ils	PRON	il
ne	ADV	ne
où	ADV	où
Ou	CCONJ	ou
rien	PRON	rien
:	PUNCT	:
d'	DET	d'
adore	VERB	adore
à	ADP	à
serais	AUX	être
laisser	VERB	laisser
Etats-Unis	PROPN	Etats-Unis
le	DET	le
jeune	ADJ	jeune
.	PUNCT	.
.	PUNCT	.
pastel	ADJ	pastel
y	PRON	y
semaine	NOUN	semaine
ouvris	VERB	ouvrir
.	PUNCT	.
de	ADP	de
m'	PRON	me
général	NOUN	général
mon	DET	mon
tenez	VERB	tenir
neuf	ADJ	neuf
un	DET	un
et	CCONJ	et
—	PUNCT	—
cachai	VERB	cacher
pas	ADV	pas
.	PUNCT	.
.	PUNCT	.
tramant	ADJ	tramant
d'	ADP	de
informer	VERB	informer
.	PUNCT	.
autre	ADJ	autre
—	PUNCT	—
d'	ADP	de
ne	ADV	ne
changé	VERB	changer
nus	ADJ	nu
.	PUNCT	.
nom	NOUN	nom
.	PUNCT	.
connais	VERB	connaître
clientèle	NOUN	clientèle
engoncé	VERB	engoncer
Quelle	ADJ	quell
formelle	ADJ	formel
de	ADP	de
n'	ADV	n'
ai	VERB	avoir
certain	ADJ	certain
.	NUM	.
que	SCONJ	que
feutrée	VERB	feutrer
...	PUNCT	...
parents	NOUN	parent
l'	PRON	l'
ma	DET	mon
un	DET	un
mon	DET	mon
J'	PRON	je
plutôt	ADV	plutôt
m'	PRON	me
années	NOUN	année
chaque	DET	chaque
Il	PRON	il
—	PUNCT	—
une	DET	un
il	PRON	il
somnambule	ADJ	somnambule
,	PUNCT	,
et	CCONJ	et
sont	AUX	être
Geneva	PROPN	Geneva
Je	PRON	je
il	PRON	il
arrive	VERB	arrive
—	PUNCT	—
de	ADP	de
appréhension	NOUN	appréhension
particularité	NOUN	particularité
me	PRON	me
et	CCONJ	et
m'	PRON	me
cette	DET	ce
effet	NOUN	effet
un	DET	un
à	ADP	à
quoi	PRON	quoi
beau	ADJ	beau
étaient	AUX	être
laiton	NOUN	laiton
Je	PRON	je
avant	ADP	avant
,	PUNCT	,
part	NOUN	part
pas	ADV	pas
la	DET	le
cette	DET	ce
pardessus	NOUN	pardessus
,	PUNCT	,
,	PUNCT	,
pour	ADP	pour
et	CCONJ	et
ambiance	NOUN	ambiance
d'	ADP	de
garantie	VERB	garantir
pas	ADV	pas
.	PUNCT	.
débarrasser	VERB	débarrasser
un	DET	un
encore	ADV	encore
son	DET	son
été	AUX	être
de	ADP	de
grognement	NOUN	grognement
m'	PRON	me
photo	NOUN	photo
il	PRON	il
mes	DET	mon
était	AUX	être
me	PRON	me
,	PUNCT	,
tendit	VERB	tendre
génération	NOUN	génération
réveillée	VERB	réveiller
Il	PRON	il
le	DET	le
ancienne	ADJ	ancien
une	DET	un
enfoncée	VERB	enfoncer
ne	ADV	ne
d'	ADP	de
héritage	NOUN	héritage
jamais	ADV	jamais
émigrés	NOUN	émigré
de	ADP	de
,	PUNCT	,
»	PUNCT	»
croyez	VERB	croire
thermal	ADJ	thermal
avaient	AUX	avoir
déchiffra	VERB	déchiffrer
un	DET	un
équilibrée	ADJ	équilibré
.	PUNCT	.
...	PUNCT	...
que	SCONJ	que
ne	ADV	ne
une	DET	un
ce	PRON	ce
est	AUX	être
papier	NOUN	papier
en	ADP	en
la	DET	le
une	DET	un
personne	NOUN	personne
gardait	VERB	garder
J'	PRON	je
un	DET	un
qu'	SCONJ	que
me	PRON	me
.	PUNCT	.
,	PUNCT	,
il	PRON	il
payé	VERB	payer
la	DET	le
ensuite	ADV	ensuite
—	PUNCT	—
établissement	NOUN	établissement
camarades	NOUN	camarade
—	PUNCT	—
Pourriez	VERB	pouvoir
,	PUNCT	,
—	PUNCT	—
indique	VERB	indique
de	ADP	de
à	ADP	à
émit	VERB	émettre
de	ADP	de
aimais	VERB	aimer
le	DET	le
fille	NOUN	fille
pas	ADV	pas
êtes	VERB	être
un	PRON	un
