Oh	INTJ	Oh
lorsque	SCONJ	lorsque
à	ADP	à
complication	NOUN	complication
s'	PRON	se
une	DET	un
de	ADP	de
du	ADP	de
n'	ADV	n'
très	ADV	très
»	PUNCT	»
poussière	NOUN	poussière
ne	ADV	ne
à	ADP	à
y	PRON	y
hennissement	NOUN	hennissement
apéritifs	NOUN	apéritif
a	AUX	avoir
dossier	NOUN	dossier
,	PUNCT	,
plus	ADV	plus
scène	NOUN	scène
»	PUNCT	»
environ	ADV	environ
la	DET	le
qu'	SCONJ	que
cocktails	NOUN	cocktail
vieille	ADJ	vieux
il	PRON	il
cela	PRON	cela
fantômes	NOUN	fantôme
déplie	VERB	déplier
distingue	VERB	distingue
?	PUNCT	?
chez	ADP	chez
de	ADP	de
en	ADP	en
empâté	VERB	empâter
«	PUNCT	«
femme	NOUN	femme
pas	ADV	pas
pourrait	VERB	pouvoir
chose	NOUN	chose
qu'	SCONJ	que
teinte	NOUN	teinte
Elle	PRON	lui
entre	ADP	entre
effet	NOUN	effet
prendre	VERB	prendre
.	PUNCT	.
la	DET	le
la	DET	le
un	DET	un
.	PUNCT	.
,	PUNCT	,
l'	DET	le
offusquer	VERB	offusquer
La	DET	le
geste	NOUN	geste
menton	NOUN	menton
est	AUX	être
émet	VERB	émettre
,	PUNCT	,
-	PROPN	-
ont	AUX	avoir
et	CCONJ	et
tout	ADV	tout
son	DET	son
d'	ADP	de
Que	PRON	que
près	ADV	près
où	PRON	où
front	NOUN	front
.	PUNCT	.
que	PRON	que
et	CCONJ	et
.	PUNCT	.
,	PUNCT	,
et	CCONJ	et
Alors	ADV	alors
au	ADP	au
Maud	NOUN	maud
.	PUNCT	.
vingt	NUM	vingt
disposés	VERB	disposer
position	NOUN	position
l'	DET	le
c'	PRON	ce
exprimait	VERB	exprimer
de	ADP	de
les	DET	le
geste	NOUN	geste
suffisance	NOUN	suffisance
et	CCONJ	et
que	SCONJ	que
,	PUNCT	,
Ancienne	ADJ	ancien
la	DET	le
dans	ADP	dans
exprime	VERB	exprime
humour	NOUN	humour
soir	NOUN	soir
homme	NOUN	homme
mondaine	ADJ	mondain
connaît	VERB	connaître
s'	PRON	se
imprime	VERB	imprime
de	ADP	de
a	VERB	avoir
soit	AUX	être
en	ADP	en
boîte	NOUN	boîte
longtemps	ADV	longtemps
verre	NOUN	verre
de	ADP	de
?	PUNCT	?
stature	NOUN	stature
.	PUNCT	.
pensera	VERB	penser
père	NOUN	père
?	PUNCT	?
bien	ADV	bien
écœurante	ADJ	écœurant
lui	PRON	lui
sur	ADP	sur
mais	CCONJ	mais
avec	ADP	avec
.	PUNCT	.
.	PUNCT	.
déclara	VERB	déclarer
que	SCONJ	que
de	ADP	de
.	PUNCT	.
soulevant	VERB	soulever
voix	NOUN	voix
,	PUNCT	,
le	DET	le
disposé	VERB	disposer
habitude	NOUN	habitude
ce	DET	ce
pourtant	ADV	pourtant
la	DET	le
Gallas	PROPN	Gallas
même	ADJ	même
.	PUNCT	.
corsage	NOUN	corsage
de	ADP	de
ennui	NOUN	ennui
demandera	VERB	demander
il	PRON	il
forme	NOUN	forme
semble	VERB	semble
!	PUNCT	!
ci	PRON	ci
.	PUNCT	.
:	PUNCT	:
hôtel	NOUN	hôtel
des	ADP	de
.	PUNCT	.
lourde	ADJ	lourd
de	ADP	de
.	PUNCT	.
le	DET	le
nuit	NOUN	nuit
leurs	DET	leur
vaste	ADJ	vaste
?	PUNCT	?
qu'	PRON	qu'
Tonkinoise	NOUN	tonkinoise
exerçait	VERB	exercer
Les	DET	le
moitié	NOUN	moitié
le	DET	le
Ternes	PROPN	Ternes
sont	AUX	être
les	DET	le
reflet	NOUN	reflet
remarque	NOUN	remarque
linge	NOUN	linge
nouveau	ADJ	nouveau
habitude	NOUN	habitude
donner	VERB	donner
lui	PRON	lui
inutile	ADJ	inutile
est	AUX	être
sont	AUX	être
bas	NOUN	bas
silhouette	NOUN	silhouette
,	PUNCT	,
père	NOUN	père
glissé	VERB	glisser
et	CCONJ	et
le	DET	le
«	PUNCT	«
à	ADP	à
)	PUNCT	)
est	AUX	être
et	CCONJ	et
pièce	NOUN	pièce
et	CCONJ	et
qui	PRON	qui
la	DET	le
rires	NOUN	rire
à	ADP	à
Chypre	PROPN	Chypre
,	PUNCT	,
Grève	PROPN	Grève
à	ADP	à
lui	PRON	lui
flotte	VERB	flotte
Maud	PROPN	Maud
Marcheret	PROPN	Marcheret
que	SCONJ	que
à	ADP	à
rangées	NOUN	rangée
la	DET	le
accompagne	VERB	accompagne
et	CCONJ	et
de	ADP	de
si	ADV	si
invariablement	ADV	invariablement
,	PUNCT	,
ma	DET	mon
oublions	VERB	oublier
leurs	DET	leur
pour	ADP	pour
»	PUNCT	»
une	DET	un
le	DET	le
de	ADP	de
protection	NOUN	protection
père	NOUN	père
possible	ADJ	possible
préféré	VERB	préférer
.	PUNCT	.
légèrement	ADV	légèrement
repartie	NOUN	repartie
lui	PRON	lui
--	PUNCT	--
sorte	NOUN	sorte
«	PUNCT	«
Murraille	PROPN	Murraille
une	DET	un
A	ADP	à
lui	PRON	lui
s'	SCONJ	s'
restée	VERB	rester
Mais	CCONJ	mais
:	PUNCT	:
artiste	NOUN	artiste
autres	NOUN	autre
de	ADP	de
l'	PRON	l'
,	PUNCT	,
-	PROPN	-
des	DET	un
,	PUNCT	,
trop	ADV	trop
de	ADP	de
contracte	VERB	contracte
,	PUNCT	,
!	PUNCT	!
mon	DET	mon
Il	PRON	il
?	PUNCT	?
Murraille	PROPN	Murraille
mon	DET	mon
,	PUNCT	,
surprend	VERB	surprendre
probablement	ADV	probablement
de	ADP	de
pas	ADV	pas
porte	VERB	porte
apéritifs	NOUN	apéritif
et	CCONJ	et
Il	PRON	il
de	ADP	de
qui	PRON	qui
aussi	ADV	aussi
occupent	VERB	occuper
coupe	NOUN	coupe
découpé	VERB	découper
elle	PRON	lui
être	AUX	être
comme	ADP	comme
du	ADP	de
a	AUX	avoir
photo	NOUN	photo
Maud	PROPN	Maud
affaissement	NOUN	affaissement
passé	NOUN	passé
au	ADP	au
pour	ADP	pour
étouffés	VERB	étouffer
sur	ADP	sur
la	DET	le
.	PUNCT	.
tissus	NOUN	tissu
au	ADP	au
recourt	VERB	recourir
ne	ADV	ne
et	CCONJ	et
à	ADP	à
fauteuils	NOUN	fauteuil
comme	ADP	comme
certainement	ADV	certainement
--	PUNCT	--
font	VERB	faire
mince	ADJ	mince
avant	ADP	avant
Boiseries	NOUN	boiserie
qui	PRON	qui
mouvement	NOUN	mouvement
Marcheret	PROPN	Marcheret
presque	ADV	presque
le	DET	le
mois	NOUN	mois
Maud	PROPN	Maud
l'	DET	le
svelte	ADJ	svelte
éloquence	NOUN	éloquence
habits	NOUN	habit
l'	PRON	l'
Gallas	PROPN	Gallas
anglais	ADJ	anglais
père	NOUN	père
plus	ADV	plus
arrière-plan	NOUN	arrière-plan
le	DET	le
des	ADP	de
entre	ADP	entre
commandé	VERB	commander
gauche	ADJ	gauche
palpé	VERB	palper
se	PRON	se
et	CCONJ	et
insensible	ADJ	insensible
,	PUNCT	,
par	ADP	par
grand	ADJ	grand
platine	NOUN	platine
noter	VERB	noter
(	PUNCT	(
-	ADV	-
le	DET	le
.	PUNCT	.
Son	DET	son
complicité	NOUN	complicité
merde	NOUN	merde
du	ADP	de
aucun	DET	aucun
sa	DET	son
visage	NOUN	visage
de	ADP	de
entrés	VERB	entrer
Sauf	ADP	sauf
ce	DET	ce
de	ADP	de
éventail	NOUN	éventail
heure	NOUN	heure
direction	NOUN	direction
des	ADP	de
il	PRON	il
.	PUNCT	.
petits	ADJ	petit
en	PRON	en
d'	ADP	de
lire	VERB	lire
déroule	VERB	déroule
mon	DET	mon
,	PUNCT	,
ans	NOUN	an
ces	DET	ce
,	PUNCT	,
Murraille	PROPN	Murraille
-	PRON	-
.	PUNCT	.
spirituel	ADJ	spirituel
une	DET	un
Maud	PROPN	Maud
visage	NOUN	visage
.	PUNCT	.
toujours	ADV	toujours
s'	PRON	se
Paris	PROPN	Paris
l'	PRON	l'
plisse	VERB	plisse
est	AUX	être
depuis	ADP	depuis
regard	NOUN	regard
de	ADP	de
.	PUNCT	.
un	DET	un
d'	ADP	de
inquiet	ADJ	inquiet
floue	ADJ	flou
parfum	NOUN	parfum
Marcheret	PROPN	Marcheret
cet	DET	ce
.	PUNCT	.
avec	ADP	avec
soit	AUX	être
Ils	PRON	il
Murraille	PROPN	Murraille
,	PUNCT	,
Le	DET	le
ou	CCONJ	ou
,	PUNCT	,
paraissait	VERB	paraître
,	PUNCT	,
camaïeux	NOUN	camaïeu
larges	ADJ	large
la	DET	le
il	PRON	il
sur	ADP	sur
en	PRON	en
ans	NOUN	an
.	PUNCT	.
la	DET	le
deux	NUM	deux
le	DET	le
,	PUNCT	,
,	PUNCT	,
cheveux	NOUN	cheveu
de	ADP	de
hommes	NOUN	homme
Elle	PRON	lui
maître	NOUN	maître
,	PUNCT	,
mon	DET	mon
le	DET	le
,	PUNCT	,
où	PRON	où
sourire	NOUN	sourire
trois	PRON	trois
et	CCONJ	et
Marcheret	PROPN	Marcheret
avance	VERB	avancer
de	ADP	de
bien	ADV	bien
parlementaire	ADJ	parlementaire
doigts	NOUN	doigt
père	NOUN	père
considère	VERB	considérer
?	PUNCT	?
bras	NOUN	bras
qu'	SCONJ	que
Maud	PROPN	Maud
.	PUNCT	.
,	PUNCT	,
pour	ADP	pour
son	DET	son
des	ADP	de
en	ADP	en
à	ADP	à
de	ADP	de
lui	PRON	lui
la	DET	le
les	DET	le
de	ADP	de
son	DET	son
quoi	PRON	quoi
est	AUX	être
,	PUNCT	,
basse	ADJ	bas
de	DET	de
amie	NOUN	amie
contourne	VERB	contourne
Elle	PRON	lui
de	ADP	de
s'	PRON	se
de	ADP	de
à	ADP	à
père	NOUN	père
Murraille	PROPN	Murraille
ses	DET	son
A	ADP	à
Guy	PROPN	Guy
et	CCONJ	et
l'	DET	le
,	PUNCT	,
un	DET	un
Les	DET	le
d'	ADP	de
père	NOUN	père
sur	ADP	sur
,	PUNCT	,
poussent	VERB	pousser
-	PROPN	-
revers	NOUN	revers
un	DET	un
cheminée	NOUN	cheminée
et	CCONJ	et
cette	DET	ce
qu'	PRON	qu'
rires	NOUN	rire
une	DET	un
d'	ADP	de
père	NOUN	père
tabouret	NOUN	tabouret
un	DET	un
sourcils	NOUN	sourcil
et	CCONJ	et
Les	DET	le
d'	ADP	de
cache	VERB	cache
hasard	NOUN	hasard
désire	VERB	désire
manger	VERB	manger
Monsieur	NOUN	Monsieur
Alors	ADV	alors
monde	NOUN	monde
ils	PRON	il
néglige	VERB	négliger
des	DET	un
dont	PRON	dont
Chalva	PROPN	Chalva
:	PUNCT	:
et	CCONJ	et
chaque	DET	chaque
bourrades	NOUN	bourrade
Marcheret	PROPN	Marcheret
boit	VERB	boire
.	PUNCT	.
plafond	NOUN	plafond
sont	AUX	être
front	NOUN	front
?	PUNCT	?
verre	NOUN	verre
devient	VERB	devenir
salle	NOUN	salle
les	DET	le
perdre	VERB	perdre
,	PUNCT	,
,	PUNCT	,
oui	ADV	oui
suffirait	VERB	suffire
le	DET	le
des	ADP	de
,	PUNCT	,
La	DET	le
leurs	DET	leur
ne	ADV	ne
sa	DET	son
Monsieur	NOUN	Monsieur
-t	PRON	-t
.	PUNCT	.
dans	ADP	dans
qu'	SCONJ	que
d'	ADP	de
une	DET	un
...	PUNCT	...
nettement	ADV	nettement
Il	PRON	il
effrite	VERB	effrite
.	PUNCT	.
Murraille	PROPN	Murraille
Ils	PRON	il
éclat	NOUN	éclat
Il	PRON	il
,	PUNCT	,
,	PUNCT	,
mon	DET	mon
avance	VERB	avancer
droit	ADJ	droit
deviennent	VERB	devenir
dîner	NOUN	dîner
Marcheret	PROPN	Marcheret
s'	PRON	se
rares	ADJ	rare
même	ADV	même
fait	VERB	faire
parviennent	VERB	parvenir
Maintenant	ADV	maintenant
sa	DET	son
dirigent	VERB	diriger
Murraille	NOUN	murraille
plus	ADV	plus
d'	ADP	de
aggrave	VERB	aggrave
à	ADP	à
de	ADP	de
Elle	PRON	lui
paroles	NOUN	parole
lui-même	PRON	lui-même
hauteur	NOUN	hauteur
Elle	PRON	lui
marque	NOUN	marque
«	PUNCT	«
bout	NOUN	bout
mon	DET	mon
apprendra	VERB	apprendre
et	CCONJ	et
Marcheret	PROPN	Marcheret
:	PUNCT	:
les	DET	le
dos	NOUN	dos
gigantesque	ADJ	gigantesque
des	ADP	de
.	PUNCT	.
lumière	NOUN	lumière
sorte	NOUN	sorte
,	PUNCT	,
une	DET	un
leur	DET	leur
ombre	NOUN	ombre
parle	VERB	parle
.	PUNCT	.
confirme	VERB	confirme
et	CCONJ	et
.	PUNCT	.
Sauf	ADP	sauf
à	ADP	à
en	ADP	en
ne	ADV	ne
franchise	NOUN	franchise
Ils	PRON	il
couperet	NOUN	couperet
au	ADP	au
ombre	NOUN	ombre
d'	ADP	de
Monsieur	NOUN	Monsieur
Lorsque	SCONJ	lorsque
,	PUNCT	,
»	PUNCT	»
,	PUNCT	,
un	DET	un
que	SCONJ	que
lève	VERB	lever
tout	PRON	tout
dessine	VERB	dessine
ne	ADV	ne
du	ADP	de
commandent	VERB	commander
Marcheret	PROPN	Marcheret
sur	ADP	sur
vive	ADJ	vif
les	DET	le
le	DET	le
impérieux	ADJ	impérieux
semble	VERB	semble
son	DET	son
appliques	NOUN	applique
parle	VERB	parle
eux	PRON	lui
de	ADP	de
Grève	PROPN	Grève
bascule	VERB	bascule
ont	VERB	avoir
la	DET	le
-ce	PRON	-ce
bas	ADV	bas
grande	ADJ	grand
.	PUNCT	.
la	DET	le
le	DET	le
encore	ADV	encore
main	NOUN	main
rappeler	VERB	rappeler
Murraille	PROPN	Murraille
de	ADP	de
qui	PRON	qui
prise	NOUN	prise
et	CCONJ	et
.	PUNCT	.
?	PUNCT	?
de	ADP	de
.	PUNCT	.
d'	ADP	de
une	DET	un
de	ADP	de
mon	DET	mon
père	NOUN	père
-	ADV	-
une	DET	un
pas	ADV	pas
gentilhomme	NOUN	gentilhomme
le	DET	le
d'	ADP	de
se	PRON	se
Ils	PRON	il
strident	ADJ	strident
hébétude	NOUN	hébétude
en	ADP	en
découpe	VERB	découpe
sur	ADP	sur
et	CCONJ	et
l'	PRON	l'
,	PUNCT	,
tient	VERB	tenir
l'	DET	le
le	DET	le
trouver	VERB	trouver
)	PUNCT	)
accrochées	VERB	accrocher
sur	ADP	sur
dresse	VERB	dresse
celui	PRON	celui
un	DET	un
l'	PRON	l'
de	ADP	de
...	PUNCT	...
,	PUNCT	,
de	ADP	de
avec	ADP	avec
visage	NOUN	visage
eux	PRON	lui
sur	ADP	sur
cigarette	NOUN	cigarette
pourquoi	ADV	pourquoi
un	DET	un
de	ADP	de
de	ADP	de
-il	PRON	il
abus	NOUN	abus
.	PUNCT	.
«	PUNCT	«
à	ADP	à
sien	PRON	sien
Il	PRON	il
entrelacs	NOUN	entrelacs
.	PUNCT	.
en	ADP	en
armoire	NOUN	armoire
d'	ADP	de
.	PUNCT	.
le	DET	le
sauce	NOUN	sauce
appel	NOUN	appel
l'	DET	le
couvre	VERB	couvrir
large	ADJ	large
les	DET	le
à	ADP	à
de	ADP	de
cette	DET	ce
elle	PRON	lui
tête	NOUN	tête
Il	PRON	il
chaise	NOUN	chaise
ses	DET	son
de	ADP	de
très	ADV	très
.	PUNCT	.
des	ADP	de
Marcheret	PROPN	Marcheret
lèvres	NOUN	lèvre
.	PUNCT	.
père	NOUN	père
se	PRON	se
assis	VERB	asseoir
déserte	ADJ	désert
parvient	VERB	parvenir
aux	ADP	à
des	ADP	de
détache	VERB	détache
total	ADJ	total
que	SCONJ	que
,	PUNCT	,
craint	VERB	craindre
parfois	ADV	parfois
si	ADV	si
précision	NOUN	précision
on	PRON	on
table	NOUN	table
de	ADP	de
impression	NOUN	impression
est	AUX	être
père	NOUN	père
des	ADP	de
alcool	NOUN	alcool
de	ADP	de
deux	NUM	deux
ressent	VERB	ressentir
avec	ADP	avec
on	PRON	on
y	PRON	y
se	PRON	se
de	ADP	de
,	PUNCT	,
Il	PRON	il
,	PUNCT	,
.	PUNCT	.
les	PRON	le
silencieux	ADJ	silencieux
considère	VERB	considérer
encore	ADV	encore
les	DET	le
aller	NOUN	aller
tient	VERB	tenir
se	PRON	se
yeux	NOUN	oeil
elle	PRON	lui
.	PUNCT	.
et	CCONJ	et
des	ADP	de
chevreuil	NOUN	chevreuil
,	PUNCT	,
copieux	ADJ	copieux
»	PUNCT	»
affale	VERB	affale
lézarde	VERB	lézarde
du	ADP	de
Marcheret	PROPN	Marcheret
élève	VERB	élever
milieu	NOUN	milieu
centimètres	NOUN	centimètre
bourgognes	NOUN	bourgogne
fin	NOUN	fin
ton	NOUN	ton
qui	PRON	qui
s'	SCONJ	s'
qu'	SCONJ	que
gibiers	NOUN	gibier
aussi	ADV	aussi
il	PRON	il
et	CCONJ	et
toujours	ADV	toujours
vieille	ADJ	vieux
saisir	VERB	saisir
invisible	ADJ	invisible
aux	ADP	à
demande	VERB	demande
ordre	NOUN	ordre
insistance	NOUN	insistance
chacune	PRON	chacun
et	CCONJ	et
courant	NOUN	courant
donnent	VERB	donner
et	CCONJ	et
.	PUNCT	.
mais	CCONJ	mais
Murraille	PROPN	Murraille
et	CCONJ	et
même	ADJ	même
presque	ADV	presque
menton	NOUN	menton
.	PUNCT	.
.	PUNCT	.
?	PUNCT	?
vers	ADP	vers
dont	PRON	dont
peu	ADV	peu
demandera	VERB	demander
